sif_code,nav_date,nav,AUM
SIF-120,10-Jul-2026,10.9326,2975.25
SIF-121,10-Jul-2026,10.9327,13.77
SIF-122,10-Jul-2026,10.9161,6138.22
SIF-123,10-Jul-2026,10.9160,30.41
SIF-140,10-Jul-2026,10.3287,191.86
SIF-143,10-Jul-2026,10.3191,469.82
SIF-144,10-Jul-2026,10.3191,1.69
SIF-33,10-Jul-2026,10.31,58363.39
SIF-34,10-Jul-2026,10.24,104320.21
SIF-23,10-Jul-2026,10.7319,10675.99
SIF-25,10-Jul-2026,10.6264,8780.59
SIF-24,10-Jul-2026,10.7319,2846.08
SIF-26,10-Jul-2026,10.6264,69.41
SIF-107,10-Jul-2026,10.7228,77.30
SIF-104,10-Jul-2026,10.7051,6.20
SIF-105,10-Jul-2026,10.6663,986.59
SIF-106,10-Jul-2026,10.6663,3.86
SIF-112,10-Jul-2026,10.1341,77.21
SIF-114,10-Jul-2026,10.1154,4898.28
SIF-115,10-Jul-2026,10.1154,4.09
SIF-61,10-Jul-2026,10.473,
SIF-75,10-Jul-2026,10.136,1.09
SIF-62,10-Jul-2026,10.427,6411.82
SIF-69,10-Jul-2026,10.296,16.19
SIF-71,10-Jul-2026,10.427,10.13
SIF-19,10-Jul-2026,952.8496,15304.83
SIF-20,10-Jul-2026,952.8496,9.40
SIF-21,10-Jul-2026,944.1754,23403.71
SIF-22,10-Jul-2026,944.1754,70.25
SIF-57,10-Jul-2026,10.6927,6672.40
SIF-55,10-Jul-2026,10.6333,18524.85
SIF-59,10-Jul-2026,10.6333,3.98
SIF-95,10-Jul-2026,1012.7154,9683.67
SIF-94,10-Jul-2026,1012.7154,27.25
SIF-96,10-Jul-2026,1009.2493,989.09
SIF-97,10-Jul-2026,1009.2493,6.90
SIF-127,10-Jul-2026,10.34,2957.85
SIF-126,10-Jul-2026,10.33,3914.62
SIF-1,10-Jul-2026,10.9871,34219.94
SIF-3,10-Jul-2026,10.865,21626.58
SIF-2,10-Jul-2026,10.9871,1891.16
SIF-4,10-Jul-2026,10.865,107.01
SIF-108,10-Jul-2026,10.6483,106.73
SIF-111,10-Jul-2026,10.6087,992.65
SIF-110,10-Jul-2026,10.6091,3.09
SIF-99,10-Jul-2026,10.3725,2622.52
SIF-100,08-Jun-2026,0.0000,
SIF-103,08-Jun-2026,0.0000,
SIF-102,10-Jul-2026,10.3416,8822.95
SIF-98,10-Jul-2026,10.3416,
SIF-101,10-Jul-2026,10.3416,15.92
SIF-116,10-Jul-2026,10.3595,1488.90
SIF-117,10-Jul-2026,10.3338,424.18
SIF-118,10-Jul-2026,10.3595,16.81
SIF-119,10-Jul-2026,10.3338,14.30
SIF-125,10-Jul-2026,10.2061,4219.47
SIF-124,10-Jul-2026,10.1922,11299.70
SIF-36,10-Jul-2026,10.3331,31862.76
SIF-35,10-Jul-2026,10.2696,50858.68
SIF-88,10-Jul-2026,10.4103,5761.98
SIF-86,10-Jul-2026,10.4103,10.18
SIF-87,10-Jul-2026,10.3707,12347.04
SIF-89,10-Jul-2026,10.3707,10.16
SIF-92,10-Jul-2026,10.7997,150.77
SIF-91,10-Jul-2026,10.7596,19.31
SIF-90,10-Jul-2026,10.7997,3752.11
SIF-93,10-Jul-2026,10.7596,1143.81
SIF-9,10-Jul-2026,10.8983,269251.71
SIF-10,10-Jul-2026,10.6389,8326.01
SIF-11,10-Jul-2026,10.8210,146725.84
SIF-12,10-Jul-2026,10.5619,330.72
SIF-83,10-Jul-2026,10.3839,10.43
SIF-80,10-Jul-2026,10.3501,5086.36
SIF-81,20-Apr-2026,10.08,2.10
SIF-79,10-Jul-2026,10.3841,2281.51
SIF-51,10-Jul-2026,10.242,9.42
SIF-54,10-Jul-2026,10.337,5211.65
SIF-48,10-Jul-2026,10.335,10.17
SIF-40,10-Jul-2026,10.315,5846.08
SIF-44,10-Jul-2026,10.315,11.10
SIF-129,10-Jul-2026,10.0601,2707.94
SIF-130,10-Jul-2026,10.0602,1.32
SIF-128,10-Jul-2026,10.0562,4763.76
SIF-145,10-Jul-2026,10.078,
SIF-148,10-Jul-2026,10.078,
SIF-146,10-Jul-2026,10.077,
SIF-147,10-Jul-2026,10.077,
SIF-14,10-Jul-2026,10.5036,174995.47
SIF-15,10-Jul-2026,10.5096,1524.53
SIF-13,10-Jul-2026,10.4483,173724.47
SIF-16,10-Jul-2026,10.4474,441.58
SIF-134,10-Jul-2026,10.125,646.54
SIF-135,10-Jul-2026,10.126,19.69
SIF-136,10-Jul-2026,10.114,3504.14
SIF-137,10-Jul-2026,10.114,72.99
SIF-5,10-Jul-2026,10.7412,12636.28
SIF-7,10-Jul-2026,10.6181,2452.04
SIF-6,10-Jul-2026,10.7412,319.14
SIF-8,10-Jul-2026,10.7953,21.86
SIF-32,10-Jul-2026,10.2449,18223.60
SIF-31,10-Jul-2026,10.2449,
SIF-28,10-Jul-2026,10.2449,93.49
SIF-29,10-Jul-2026,10.1388,35457.39
SIF-30,10-Jul-2026,10.1388,
SIF-27,10-Jul-2026,10.1388,121.83
